,key,title,tip,tip2,_EOF
11,zastavam70,Застава М70,Пистолет Застава. «Застава» означает «флаг». Застава — производитель автомобилей﹐ выпускавший Югоскар﹐ а также военная компания. <br>Мария использует полуавтоматический пистолет﹐ который когда-то использовался югославской полицией и военными. Ее прозвище «Пчелица» (маленькая пчелка). <br><br>Существует также штурмовая винтовка с таким же названием. Это югославская версия советского автомата Калашникова «АК-47»﹐ советский пистолет производился по лицензии в Сербии. <br>Пистолет﹐ используемый Марией﹐ представляет собой конструкцию Токарева и легко разбирается. <br><br>Югославия﹐ которая во время Холодной войны не принадлежала ни к Восточному﹐ ни к Западному лагерю﹐ имела оборонную стратегию «защиты всех народов» с Советским Союзом в качестве ее виртуального врага (*1). В дополнение к регулярной армии были созданы региональные силы обороны и группа гражданской обороны для осуществления «всенародного» движения сопротивления. Идея состоит в том﹐ чтобы вовлечь врага в страну и заставить частные силы атаковать его. <br>В частности﹐ в Корпус гражданской обороны было введено обязательное участие «всех здоровых взрослых людей﹐ за исключением военнослужащих и женщин с детьми до семи лет﹐ то есть всех жителей в возрасте от 16 до 60 лет для юношей и 55 лет для женщин» (*2). В результате люди научились воевать и смогли подготовиться к борьбе с силами вторжения. <br>Кроме того﹐ оружие не раздавалось частным лицам﹐ а собиралось в различных пунктах приема. Огнестрельное оружие﹐ импортированное из других стран﹐ было модифицировано в соответствии со стратегией Югославии. В рамках этой инициативы в различных местах также была развернута винтовка «Застава М70». <br><br>《Ссылки》<br>(*1) Момосе﹐ Камеда﹐ Ямадзаки﹐ Сузуки (2014) «I Love Yugo Boys Edition» (Social Hyoronsha) с. 34<br>(*2) Кидо Рен (1979) «Всенародная защита Югославии» «Международная политика» № 63﹐ с. 10-13,,_EOF
12,salma,Сальма,Голубцы по-сербски. <br>Квашеная капуста — блюдо﹐ в котором мясной фарш заворачивают в квашеную капусту и тушат. <br>Говорят﹐ что это блюдо основано на турецком блюде «долма». Вкус сербской матери.,,_EOF
13,timemanipulation,Манипулирование временем (способность),Возможность вернуться назад﹐ вперед или остановить время. <br>Есть разные вариации﹐ но в принципе невозможно (пока) перематывать по нескольку месяцев. <br>Времем можно манипулировать только в рамках человеческой субъективности. <br>Например﹐ невозможно повернуть время вспять для людей﹐ у которых остановилась мозговая деятельность и они потеряли когнитивные способности. Поэтому оживить мертвого человека невозможно. <br><br>По сюжету Майло использует способность перематывать время на 5 секунд. <br>На первый взгляд это может показаться неудобным﹐ но если расширить возможности﹐ то можно перемотать до 2 часов назад. <br>Если вы воспользуетесь этой способностью﹐ вы практически никогда не проиграете в торговле акциями или азартных играх в целом. <br>Мировую экономику можно изменить в одночасье. <br>Однако у Майло чрезвычайно сильно развито чувство справедливости﹐ поэтому он не любит злоупотреблять своими способностями.,,_EOF
14,summon,Призвать мертвых (способность),Способность воскрешать души умерших в этот мир. <br>Как правило﹐ слово «вызвать» используется для обозначения вызова демонов﹐ духов и фей в этот мир. Часто для этого требуется нарисовать магический круг или использовать определенное заклинание. <br>Эта способность не требует каких-либо особых предметов или ритуалов и может быть вызвана только тогда﹐ когда человек﹐ обладающий этой способностью﹐ желает этого﹐ и﹐ кроме того﹐ если поблизости находятся «остатки»﹐ такие как пепел или кости вызываемого человека. <br>После активации способности вы сможете временно воплотить душу умершего в момент вашей смерти и сможете взаимодействовать с ней так﹐ чтобы это мог видеть каждый. <br>Также можно прикасаться к людям (чтобы создать иллюзию прикосновения). <br><br>Используется Неделькой в ​​работе. <br>Она не считает себя обладающей какими-либо способностями и считает﹐ что эта способность ей дана потому﹐ что она дитя дьявола.,,_EOF
15,supermarket,супермаркет,Основными супермаркетами в Сербии являются «MAXI»﹐ «Lidl (немецкий дисконтный магазин)» и «Shop & Go». <br>В городских районах множество магазинов﹐ которые открыты 24 часа в сутки. Есть также небольшие местные супермаркеты и рынки. <br>Аптеки включают «DM (немецкое сокращение от drogerie markt)» и «Lilly». <br>Когда туристы заглядывают в супермаркет﹐ они не могут не купить его из-за низких цен и широкого выбора товаров. <br>Молочных продуктов﹐ мяса и колбас в изобилии﹐ но также доступны обработанные продукты для вегетарианцев. Они заказывают ингредиенты не только из Японии﹐ но и со всей Европы. <br>В Сербии процветает сельское хозяйство﹐ поэтому на рынке можно купить более свежие овощи и фрукты﹐ чем в супермаркете.,,_EOF
16,strasbourg,Страсбург,Французский город. Близко к границе с Германией.,,_EOF
17,smoki,Смоки,Сербская закуска. Что-то вроде японской карамельной кукурузы. <br>Доступны со вкусами арахиса﹐ сыра и шоколада.,,_EOF
18,serbia,Сербия,Республика Сербия﹐ широко известная как Сербия. Страна﹐ где встречаются западная и восточная культуры. <br>Это была политически центральная страна в бывшей Югославии. <br><br>Страна﹐ не имеющая выхода к морю﹐ расположенная на Балканском полуострове. Здесь богатая природа﹐ объекты всемирного наследия и множество горячих источников. <br>Сельское хозяйство и животноводство активно развиваются с древних времен﹐ а к особым продуктам относятся молочные продукты и ягоды. <br>Она пережила множество конфликтов и имеет сложную историю. <br>В число известных японских знаменитостей входят Данило Киш (автор) и Новак Джокович (профессиональный теннисист). <br><img src='./data/image/serbia.png' style='height:250px;float:right'>,,_EOF
19,tarot,Таро,Карты﹐ используемые для гадания и игр. <br>Существуют различные теории о его происхождении﹐ но считается﹐ что оно произошло от итальянского «Трионфи» 15 века. <br><br>По сюжету Неделька часто использует Таро для предсказания будущего. Видимо﹐ она научилась этому у своей матери. Однако в ее случае﹐ каким бы ни был результат﹐ она воспринимает его в отрицательном направлении﹐ поэтому каждый раз﹐ когда гадает﹐ она чувствует себя подавленной. <br><br>Кстати﹐ в Сербии есть юморист и таролог по имени «Милан Таро». В своем шоу он принимает телефонные звонки от зрителей и использует Таро﹐ чтобы предсказать их судьбу. Его случайный (иногда серьезный) совет был принят﹐ и он стал известен в Интернете. <br>Когда в Сербии стало незаконно транслировать гадания﹐ подписали контракт с телеканалом в другой стране.,,_EOF
20,cevapi,Чевапучичи/Чевапи,Фарш скатать в шарики и обжарить на гриле. В основном шашлыки на Балканах. <br>Подавайте с паприкой﹐ айваром (пастой из баклажанов и паприки) и луком. <br>Это сытное блюдо с ароматным вкусом твердого мяса﹐ сочностью и жевательной текстурой даже из нескольких кусочков. Хорошо сочетается с пивом.,,_EOF
21,psi,сверхъестественная сила,Общий термин для обозначения способностей﹐ которые не могут быть объяснены современной наукой. <br>Хотя она изучалась многими учёными на протяжении веков﹐ она остаётся неразгаданной (по крайней мере﹐ насколько нам известно). <br>В Сербии в 20ХХ году появляются люди со сверхъестественными способностями﹐ в основном молодые люди. Однако есть много людей﹐ которые терпят неудачу из-за своей неспособности использовать свои способности. <br>Для активации способности необходим переключатель﹐ называемый «триггером» (см. отдельный раздел). <br>Поскольку активация способности требует большой концентрации﹐ маленькие дети не могут ее использовать. Примерно к 6 годам дети смогут контролировать свою волю.,,_EOF
22,dinar,динар,Валюта﹐ используемая в арабских странах. Валюта Сербии называется сербский динар. <br>1 сербский динар эквивалентен 1 иене в японских иенах (по состоянию на 2020 год). Почти то же самое. Помните﹐ купить одну вкуснейшую палочку можно за 10 сербских динаров. <br>В 1980-х годах страна страдала от гиперинфляции﹐ но сейчас ситуация стабильна. <br><br>Цены в Сербии дешевле﹐ чем в европейских странах﹐ а поужинать в ресторане можно за 1000 динаров (1000 иен). <br>Прокат 1LDK в Белграде стоит около 30 000 динаров (30 000 иен). Если вы находитесь в центре старого города﹐ это будет дороже. <br>Вы также можете посмотреть фильмы﹐ балетные спектакли и спектакли менее чем за 1000 динаров. <br>Евро нельзя использовать﹐ поэтому вам придется обменять деньги в аэропорту.,,_EOF
23,telepath,Телепатия (способность),Тип сверхъестественной силы﹐ способность читать и передавать мысли людей. Как и другие способности﹐ его критиковали за отсутствие научной основы. Он был предложен Ассоциацией исследования психологических явлений в 19 веке. Были проведены различные эксперименты и даже существует теория﹐ что между близнецами существует телепатия. <br><br>Используется Марией в работе. Хоть она и не может отправлять собственные мысли﹐ она почти прекрасно может читать мысли других﹐ даже их подсознательные мысли. <br>Однако эта способность заставляет мысли окружающих проникать в ваш мозг﹐ даже если вы этого не хотите﹐ поэтому для «прерывания» этой способности используются триггеры. <br>Обычным людям трудно переносить постоянный приток чужих мыслей﹐ но﹐ став нечувствительной к сочувствию и чувствам по отношению к другим﹐ Мария во многом преуспела в принятии мыслей людей как простой информации.,,_EOF
24,invisible,Прозрачный (способность),Способность делать себя прозрачным﹐ а также делать прозрачным все﹐ что с ним соприкасается. <br>Благодаря своим способностям его часто просят совершать грабежи и убийства. <br>Существует два типа невидимости: «каменная шляпа»﹐ которая стирает само существование человека﹐ и «оптический камуфляж»﹐ который меняет цвет тела в соответствии с окружающей средой﹐ но обладатели этой способности в Сербии могут стать полностью невидимыми﹐ включая одежду﹐ которую они носят. <br><br>Нет. В работе используется 9. Он использует тактику появления и исчезновения﹐ чтобы сбить с толку противника. <br>По какой-то причине﹐ помимо способности быть невидимым﹐ он обладает еще и способностью «прокрадываться»﹐ поэтому часто подрабатывает﹐ чтобы украсть конфиденциальные документы и драгоценности.,,_EOF
25,donau,река Дунай,Дунай – вторая по длине река Европы. <br>Начинается в Германии и впадает в Черное море в Румынии. Все они стали предметом таких классических произведений﹐ как «Прекрасный голубой Дунай». <br>Белград находится у слияния рек Дунай и Сава﹐ а крепость Калемегдан возвышается над местом слияния двух рек. <br>Вдоль реки Дунай построено бесчисленное множество городов﹐ включая Белград и Нови-Сад. Вы также можете ловить рыбу вокруг реки. <br>Когда вы почувствуете усталость﹐ прогулка вдоль реки позволит вам приятно сменить темп﹐ поскольку вы почувствуете великолепную историю и умиротворяющий бриз.,,_EOF
26,trigger,курок,Инструмент или действие﹐ которое использует человек со способностями при активации своей способности. <br>Чтобы использовать способность﹐ необходимо сохранять концентрацию﹐ для этого необходим переключатель. <br>Например﹐ в случае с Деяном способность можно активировать﹐ схватив кулон или осознав его. <br>Помимо предметов﹐ триггером могут также служить такие действия﹐ как взгляд на конкретного человека﹐ татуировку или здание. В принципе﹐ все способности требуют триггера. <br>С другой стороны﹐ если их убрать﹐ активация способностей становится практически невозможной (за некоторыми исключениями).,,_EOF
27,coffee,турецкий кофе,Разновидность способа заваривания кофе. <br>Смешайте холодную воду (молоко) и кофейный порошок в медной емкости с помощью ковша﹐ называемого ибриком (на фото справа)﹐ и доведите до кипения на огне. <br>На этом этапе вы можете добавить сахар. Доведите до кипения на медленном огне и снимите с огня﹐ когда начнет закипать. Повторите это два или три раза﹐ пока кофейная гуща не растворится﹐ несколько раз перемешайте и вылейте в чашку для кофе. <br>В зависимости от страны и домашнего хозяйства существуют разные методы заваривания﹐ так что найдите свой любимый метод. <br>Было бы идеально﹐ если бы вы вместе приготовили сладкий чай и сладости. Через некоторое время после заваривания (когда гуща в кофе осядет) пейте только надосадочную жидкость кофе﹐ оставляя гущу﹐ осевшую на дне. <br>Гуще и горькее﹐ чем эспрессо. Вы сможете в полной мере насладиться вкусом кофейных зерен. <br><br>[Что такое гадание на кофе]<br>Иногда встречаются люди﹐ которые гадают на турецком кофе. <br>Если вам посчастливилось найти кого-то﹐ кто умеет гадать на кофе﹐ просто переверните кофейную чашку на тарелку после того﹐ как вы выпьете﹐ и предложите ему взглянуть на узор﹐ оставшийся на чашке. <br>Хитрость при предсказании судьбы заключается в том﹐ чтобы максимально уменьшить количество воды и оставить только порошок. <br>Если влаги будет слишком много﹐ рисунок получится некачественным. <br><img src='./data/image/coffee.png' style='height:300px;float:right'>,,_EOF
28,novibelgrade,Новый Белград,Крупнейший муниципалитет Белграда. <br>Планируемый город﹐ созданный путем освоения земли﹐ которая была необитаема до 1947 года после Второй мировой войны. <br>Этот район﹐ находящийся под сильным влиянием брутализма социалистической эпохи﹐ застроен угловатыми﹐ прямыми бетонными жилыми комплексами и зданиями. <br>Пейзаж часто высмеивают как «бессердечный» и «холодный» из-за серого бетона﹐ но если посмотреть на каждое здание в отдельности﹐ оно на самом деле весьма очаровательно. <br>Например﹐ жилой комплекс «Телевизорке» в Блоке 28﹐ где живет Деян﹐ получил свое прозвище из-за того﹐ что окна похожи на телевизоры. <br>В настоящее время в Новом Белграде сосуществуют различные социальные группы﹐ включая иммигрантов и людей﹐ вернувшихся из других стран. В бетонных жилых комплексах﹐ олицетворяющих социалистические идеалы﹐ проживают 200 000 граждан﹐ и в них чувствуется меланхолия ушедшей эпохи.,,_EOF
29,psychic,способный человек,Общий термин для людей со сверхъестественными способностями. Он был обнаружен в различных частях Сербии в 20XX году. <br>Говорят﹐ что по всей стране подтверждены десятки тысяч людей со способностями. Соотношение мужчин и женщин составляет 3:7﹐ и говорят﹐ что больше женщин обладают такими способностями﹐ но статистика не разглашается. <br>Для активации способности требуется нечто или состояние﹐ называемое «триггером». <br>Golden Dawn утверждает﹐ что люди со способностями являются «собственностью компании»﹐ но подробности неизвестны.,,_EOF
30,bousou,способность к побегу,Из-за своих способностей﹐ находящихся за пределами человеческого понимания﹐ он часто выходит из-под контроля. <br>Нет конца числу людей﹐ которые сбиваются с пути﹐ например﹐ когда их способности бессознательно выходят наружу﹐ когда они теряют контроль или когда они злоупотребляют своими способностями и совершают преступления. <br>Единственный способ полностью контролировать свои способности — это связать триггер со способностью и научиться активировать его﹐ когда вы знаете о триггере. <br>Однако очень немногие способности требуют﹐ чтобы триггер прерывался﹐ а не активировался. <br>Например﹐ в случае с телепатией мысли окружающих вас людей постоянно текут в ваш мозг﹐ поэтому﹐ если вы захотите прервать свою способность﹐ вам потребуются какие-то средства.,,_EOF
31,curse,проклинать,Явление﹐ при котором желания или несчастья случаются с людьми или вещами из-за людей﹐ духов﹐ богов и т. д. Это также относится к явлениям﹐ вызванным магией или колдовскими заклинаниями. <br><br>Неделька считает «способности» проклятием. Она убеждена﹐ что магию следует использовать во благо﹐ а возможность использовать ее для личной выгоды часто считается злоупотреблением магией или проклятием.,,_EOF
32,cursedperson,проклятый человек,Термин Недельки означает «человек со способностями». <br>По ее словам﹐ все способности﹐ не соответствующие законам природы﹐ являются делом рук дьявола﹐ поэтому создается впечатление﹐ что обладающие способностями — это люди﹐ продавшие душу дьяволу (люди﹐ несущие в себе своеобразную карму).,,_EOF
33,bar,бар,"Старомодные бары и питейные заведения в Сербии называются «кафана». <br>Подаются такие закуски﹐ как чевапи﹐ кофе и алкоголь﹐ и с древних времен это место было местом общения людей. <br>Самая старая кафана на Балканах называется ""?"" (Знак Питанья). Когда кафана была впервые построена в 19 веке﹐ она называлась «Рядом с собором»﹐ но название было временно изменено на «?» после протестов Сербской Православной Церкви. <br>С тех пор это название закрепилось и сохраняется по сей день.",,_EOF
34,partdieu,Станция Пар-Дье,Центральный вокзал Лиона﹐ юг Франции. <br>Доставка из Парижа занимает около 3 часов.,,_EOF
35,pyrokinesis,Пирокинез (способность),Способность генерировать огонь. Говорят﹐ что это слово впервые было использовано Стивеном Кингом в «Firestarter». <br>Строго говоря﹐ пламя﹐ используемое людьми с пирокинезом﹐ считается продолжением части тела человека﹐ поскольку оно не обжигает человека﹐ обладающего этой способностью. <br>Однако﹐ поскольку распространившийся огонь находится вне контроля человека﹐ обладающего способностью﹐ ситуации﹐ в которых его можно использовать﹐ ограничены. <br>Если вы не против причинить катастрофический ущерб﹐ пирокинез может внести большой вклад. <br>Люди со способностями к пирокинезу идут в армию﹐ и их часто берут в суровые экспедиции. <br>Это потому﹐ что с ним можно в любое время сварить вкусный суп или чай. <br><br>По сюжету этим пользуется Елена. <br>Она превосходно владеет пирокинезом и способна полностью контролировать в бою трудноуправляемое пламя.,,_EOF
36,beer,Пиво ,"Наверное﹐ нет ничего в этом мире﹐ что могло бы заставить вас чувствовать себя счастливее﹐ чем пить пиво под палящим летним солнцем. <br>В Сербии много высококачественного крафтового пива. Среди них «БИП» — представительный бренд Сербии﹐ его легкий вкус идеален для лета (конечно﹐ его можно пить и зимой). <br>""Джелен"" — пряное светлое пиво. Он завоевал множество наград внутри страны. <br>Ну﹐ когда жарко﹐ не имеет большого значения﹐ какую марку вы покупаете.",,_EOF
37,light,свет (способность),Возможность управления светом. Хотя он не может излучать свет сам по себе﹐ его можно увеличивать и манипулировать им﹐ если есть хотя бы небольшой источник света. <br>Вы также можете стрелять лазером в любом направлении. Он также может стать прозрачным на несколько секунд за счет преломления света. Простая﹐ но удобная в использовании способность. Кстати﹐ он также может преломлять свет﹐ поэтому с его помощью можно замаскироваться. <br><br>Используется Мишель в работе. Она была американкой сербского происхождения﹐ жившей в Соединенных Штатах﹐ но «Золотая Заря» обратилась к ней﹐ чтобы использовать ее способности.,,_EOF
38,hyoui,Владение (способность),Способность обладать другими. <br>Может обладать любым человеком﹐ пока он находится без сознания (обычно во время сна). <br>Однако одержимыми могут быть только люди﹐ принимавшие определенные наркотики. <br><br>Используется Петрой в работе. Похоже﹐ ей нравилось использовать свою способность владения﹐ но﹐ возможно﹐ из-за ее конституции﹐ пока у нее были способности﹐ она не могла использовать свои конечности. <br>Она этого не знает. Часто бывает﹐ что за тех﹐ у кого есть способности﹐ приходится платить какую-то цену.,,_EOF
39,plazma,плазма,Plazma — печенье от сербской компании Bambi. Ностальгический вкус Балкан. Вулканские дети растут﹐ питаясь плазмой. <br>Разработаны различные серии﹐ кроме сладкого оригинала﹐ есть также соленая﹐ ореховая и веганская версии. <br>Также продается порошковая плазма. Его смешивают с молоком и едят как кашу. <br>На углах улиц можно купить сладости со вкусом плазмы﹐ такие как мороженое и блины﹐ посыпанные плазмой. <br>,,_EOF
40,precognition,предвидение,Предпознавательные способности. Часто используется лидерами новых религий. Это может быть связано с тем﹐ что в Интернете есть люди﹐ которые утверждают﹐ что они из будущего﹐ и пишут о них. <br><br>Используется Николеттой в работе. Будущее достигает мозга только как чувственное впечатление﹐ и увидеть законченный образ с самого начала невозможно. <br>В зависимости от навыков одаренного человека можно более систематически заглянуть в сотни вариантов будущего. <br>Если человек хочет выбрать будущее﹐ человеку с способностями к предвидению необходимо разложить события﹐ как головоломку﹐ и построить путь к будущему﹐ которое он хочет реализовать.,,_EOF
41,belgrade,Белград,столица Сербии. «Белый город» по-славянски. Четвертый по величине город на Балканах. Это была столица бывшей Югославии. <br>Старый Град (Старый город)﹐ который до сих пор сохраняет свой старый городской пейзаж﹐ и Новый Белград (Новый Белград)﹐ который находится в стадии развития и окружен комплексами государственного жилья﹐ сосуществуют. <br>В старом городе есть большой парк под названием «Крепость Калемегдан»﹐ а также множество кафе﹐ где можно отдохнуть. <br>Цены низкие﹐ поэтому это идеальный город для прогулок. <br><br>Мое личное впечатление: это город﹐ где собаки живут вместе. <br>Сообщается﹐ что в Белграде зарегистрировано 80 000 собак и еще 4500 бездомных собак (*1). <br> Более 80% бездомных собак спасены﹐ и предпринимаются усилия по их освобождению после кастрации и коррекции поведения ветеринарами и другими специалистами. <br>Это программа под названием «Поймать-Кастрировать-Выпустить» и действует в Белграде с 2008 года. Другими словами﹐ идея состоит в том﹐ чтобы сосуществовать с бездомными собаками﹐ не убивая их. <br><br>Конечно﹐ бродячие собаки могут быть переносчиками вируса бешенства﹐ поэтому не стоит подходить к ним вслепую. <br><br>《Справочник》<br>(*1) Balkan Insight﹐ Собачья загадка Сербии<br>https://balkaninsight.com/2010/10/04/a-canine-conundrum/ (по состоянию на 8 августа 2020 г.),,_EOF
42,belgrademetro,Белградское метро,За последние несколько десятилетий строительство метро Белграда неоднократно планировалось и откладывалось из-за отсутствия финансирования. <br>В 20ХХ году прошло пять лет с момента постройки﹐ и он пришел в запустение﹐ почти как руины. <br>Хотя метро в центре города почти открыто﹐ на пригород оно еще не распространилось. На станции нет ничего﹐ кроме вывески с названием станции. <br>Дети﹐ у которых слишком много свободного времени﹐ играют в метро. В метро также живут бомжи и цыгане. Из-за огромного пространства и отсутствия человеческих глаз драки между талантливыми людьми в основном происходят в метро. <br>В основном в агломерациях вблизи центра города распространены преступления и конфликты между людьми с ограниченными возможностями﹐ и все больше людей проживает в районах вблизи пригородов.,,_EOF
